course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,course_description,tags
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,True,200,2147,23,51,All Levels,1.5,2017-01-18T20:58:58Z,Business Finance,Learn about ultimate investment banking course. Practical insights and hands-on exercises included.,"['business finance', 'ultimate', 'investment', 'banking']"
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,True,75,2792,923,274,All Levels,39.0,2017-03-09T16:34:20Z,Business Finance,Learn about complete gst course & certification - grow your ca practice. Practical insights and hands-on exercises included.,"['business finance', 'certification', 'grow', 'practice']"
1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,True,45,2174,74,51,Intermediate Level,2.5,2016-12-19T19:26:30Z,Business Finance,Learn about financial modeling for business analysts and consultants. Practical insights and hands-on exercises included.,"['business finance', 'financial', 'modeling', 'business', 'analysts', 'consultants']"
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95,2451,11,36,All Levels,3.0,2017-05-30T20:07:24Z,Business Finance,Learn about beginner to pro - financial analysis in excel 2017. Practical insights and hands-on exercises included.,"['business finance', 'financial', 'analysis', 'excel', '2017']"
1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,True,200,1276,45,26,Intermediate Level,2.0,2016-12-13T14:57:18Z,Business Finance,Learn about how to maximize your profits trading options. Practical insights and hands-on exercises included.,"['business finance', 'maximize', 'profits', 'trading', 'options']"
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,True,150,9221,138,25,All Levels,3.0,2014-05-02T15:13:30Z,Business Finance,Learn about trading penny stocks: a guide for all levels in 2017. Practical insights and hands-on exercises included.,"['business finance', 'trading', 'penny', 'stocks', 'guide', '2017']"
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,True,65,1540,178,26,Beginner Level,1.0,2016-02-21T18:23:12Z,Business Finance,Learn about investing and trading for beginners: mastering price charts. Practical insights and hands-on exercises included.,"['business finance', 'investing', 'trading', 'beginners', 'mastering', 'price', 'charts']"
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,True,95,2917,148,23,All Levels,2.5,2015-01-30T22:13:03Z,Business Finance,"Learn about trading stock chart patterns for immediate, explosive gains. Practical insights and hands-on exercises included.","['business finance', 'trading', 'stock', 'chart', 'patterns', 'immediate', 'explosive', 'gains']"
476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,True,195,5172,34,38,Expert Level,2.5,2015-05-28T00:14:03Z,Business Finance,Learn about options trading 3 : advanced stock profit and success method. Practical insights and hands-on exercises included.,"['business finance', 'options', 'trading', 'advanced', 'stock', 'profit', 'success', 'method']"
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200,827,14,15,All Levels,1.0,2017-04-18T18:13:32Z,Business Finance,Learn about the only investment strategy you need for your retirement. Practical insights and hands-on exercises included.,"['business finance', 'only', 'investment', 'strategy', 'need', 'retirement']"
